因子1,因子2,因子3,因子4,因子5
-1.0304326577761609,-0.5446231443276888,-0.021786939609301992,0.6326765705396843,0.16287857266164057
-1.0432662663191286,-0.6437237332171912,0.06984775688182912,0.5777197866145625,0.17817261561368478
-1.024856800168931,-0.4644419156987352,-0.08294998427069028,0.5896203889757817,0.18790862416810347
-1.0647956025776706,-0.7992079611721653,0.2273913465351708,0.40936099920134983,0.23517999475899648
-1.0633715316926295,-0.7655798595614254,0.19892440696265656,0.41937773569758097,0.22275164784254883
-1.0613599355770225,-0.7368337488942265,0.1676988208519291,0.47284438604302603,0.22699807534689168
-1.0503498204315047,-0.6213662938744935,0.06562325544555243,0.5089309429365177,0.2344825809648881
-1.0675751987375195,-0.7553493848570061,0.19037283095792804,0.4153586151912157,0.2364821207552791
-1.0560028076655485,-0.6426275080538258,0.09138789879728795,0.46238919319595473,0.24910764800092514
-1.0815049243721864,-0.850917717071789,0.28026928188193473,0.3733244579152123,0.25399499414713983
-1.0742675410332916,-0.776786657394651,0.2165458527391923,0.4053145159138849,0.24895541453815248
-1.089037400414428,-0.896042450924931,0.324451051082498,0.3748168875626091,0.2747527188585491
-1.0816115018075465,-0.8207996249190356,0.2627129580645856,0.3897787511606967,0.2882713207649432
-1.0842785390978793,-0.8336134777748796,0.27296340853124373,0.39250535454456265,0.2840369697220998
-1.094043656256233,-0.9044283138902998,0.3377764379895386,0.3428618176311428,0.31236082629044337
-1.092345708136322,-0.8830320667137642,0.31649151895773453,0.36739127370869135,0.33134810089459676
-1.0882247177854136,-0.8401095668924704,0.27881329616168393,0.3986484526875354,0.3514845617986702
-1.0926900980860563,-0.8766560650826561,0.3210461392092889,0.3673026572258708,0.3670793206660677
-1.0732024270770337,-0.7115313290710117,0.19300914140692532,0.4291693115017557,0.3277941787855691
-1.0780070828151662,-0.767266429067849,0.29335300758580946,0.3926163165980981,0.30148354959583407
-1.0694473212177593,-0.7240025348166381,0.34031152284565797,0.4324919676525354,0.3103554793598974
-1.0621029803351505,-0.7038037596193834,0.4302520791056081,0.5190501620531185,0.24778230944577048
-1.051323251092762,-0.6409716999633674,0.4778709703287558,0.5193834706295457,0.06273274399366066
-1.0371441988376322,-0.527731225782219,0.28217272817247036,0.44338386947056435,0.06719018686555538
-1.0264667339039397,-0.4850226330364857,0.38865957961652975,0.21611916592638625,0.06372892761661725
-1.003845052978056,-0.32756776395287956,0.3232058393079505,0.050475435687703615,-0.024089098318173945
-1.0083376611548025,-0.3991732218777051,0.3995997585985785,-0.09667739790312403,-0.09639080626256433
-0.9970594072753401,-0.32684299160886804,0.30614054401589896,-0.16507898490955247,-0.12287548590132673
-0.9686699928077059,-0.10234442014200237,0.09024386475611688,-0.13693351036528215,-0.10946810428074599
-0.9552970563480723,0.006783679844644728,-0.10713144324265537,-0.12614340917336725,-0.11888352545703434
-0.9533753611468011,0.018058430383705252,-0.25462062923000583,-0.1750025823853292,-0.1070277176960263
-0.9602530350686009,-0.04363884039841382,-0.29041394397969783,-0.09783350559431687,-0.07353690123680283
-0.9576673358034107,-0.0319705572392988,-0.355953244390455,0.02936647467894603,-0.07739774486350516
-1.0059241165532324,-0.46181701164800343,-0.0038570014805822572,-0.025888508989091945,-0.062050169150980786
-1.019412564624135,-0.5858364926731336,0.0878576949211909,0.04102313134302055,-0.02821235200166259
-1.022973578373335,-0.6226765899962031,0.10480250409035985,0.15733099034083442,-0.024990389775888352
-1.0235243914380885,-0.6196821472336054,0.10167047860646984,0.1463035260851315,-0.12563889866833072
-1.0282266273659102,-0.6584147368267588,0.1271702624901587,0.2105432073550528,-0.10329812690502538
-1.0302286463660417,-0.6795129869143637,0.12115363551352992,0.37186250757223605,-0.013385738081425763
-1.0222620550722241,-0.6044573916589634,0.050997547821631455,0.43760806407798947,-0.007449037651676412
-1.0256290180616283,-0.6239158102590102,0.06127816215949535,0.4888193784508923,-0.033226050424250475
-1.0487142291869713,-0.8166449151983091,0.23474876118553992,0.42362814936886933,0.007341528954994575
-1.0242792167090566,-0.5944150509762703,0.03295008092692891,0.5263321909041374,0.018606800551439154
-1.0315741541176253,-0.6423286562860635,0.07092655255612897,0.5472096139904473,0.0006035459780301147
-1.048967531656162,-0.7774166253053286,0.1950913892394821,0.46463471833228814,0.032015286570814434
-1.055051432739621,-0.8051307534676256,0.21832530866332472,0.4591149673742121,-0.0595119775367373
-1.0450357162893418,-0.7120133595879794,0.13815340436745474,0.5065631237936941,0.07531288102370869
-1.0468249410028505,-0.7075627464060411,0.13842774193589485,0.4784936194911187,0.07177257515974098
-1.0645601115858803,-0.8454490178792842,0.26553318679418797,0.40889413955630083,0.11005018285718995
-1.0614429288919636,-0.7990587244074314,0.21759257732725915,0.4775403733192877,0.11592706018237953
-1.0491056520761013,-0.6662647885683987,0.09770469632408572,0.5343079571172947,0.11562448102595142
-1.0489605089754845,-0.644110182034725,0.0697199068125997,0.6107425334673556,0.10901167231962303
-1.063333369069159,-0.7484686661670122,0.16728352521409606,0.5677986406916116,0.12764779558856268
-1.064567776659246,-0.7366523256882895,0.1656008780866996,0.5220851158976508,0.18017775677305597
-1.0605893541232527,-0.6780749077131453,0.11261081544385898,0.5451904765833906,0.17609701357653101
-1.0668529943459502,-0.7062549841137794,0.15001540342318154,0.4539319537120225,0.20770454743479402
-1.0698583218979374,-0.705737195777775,0.1486594582124796,0.4729781007981735,0.20369698090382535
-1.0649593894784137,-0.6427128365445894,0.0925134839404132,0.5175807062113569,0.20425714180532065
-1.08279204965742,-0.7699992449420073,0.22226379362345886,0.37219754577058806,0.2446060372067757
-1.0643742291429512,-0.5823787464966182,0.05320037272353872,0.45180793213028775,0.2340829584089215
-1.0729466400449155,-0.6317164984139336,0.09785396539520606,0.44079108064331707,0.24247354022121784
-1.0700242700426599,-0.5761088664517543,0.04061207393820215,0.5242660959808157,0.21903837748655725
-1.0684659089863477,-0.5326708862950197,0.0030887430367164577,0.5391812209457914,0.21478383357404052
-1.0697144341459235,-0.5173648648025004,-0.014782809844295999,0.5985579285777377,0.22021627469555746
-1.0699497032861602,-0.4906573901611479,-0.017981197135644382,0.4724903148134594,0.26813303387210125
-1.0789424979537097,-0.5424717838907553,0.047470095757058337,0.41888583726501794,0.28613648929783386
-1.0827974060093015,-0.5669860257107068,0.15750656833940016,0.41038970175096434,0.26134741003255396
-1.0806498084618668,-0.5400084519716869,0.21841023909145144,0.4701202641688599,0.21354196184807175
-1.0803193853641953,-0.5067604385514669,0.15035802735468412,0.5552139500888659,0.2223362964126337
-1.0925274615561384,-0.6079511282476014,0.28966434055039353,0.5014393597538385,0.2532243762825027
-1.083485462972853,-0.5376797783272037,0.32147755568257497,0.5583436938675885,0.1512979564644269
-1.089214964474561,-0.6085609294289999,0.43745623256845123,0.5301208324493504,0.1522382438280121
-1.0492371596011925,-0.29210315657562164,0.2695868896013013,0.6478886782769858,0.06279891630758133
-0.9886165308361228,0.2323581415120091,-0.30938524691206526,0.8017900313065335,-0.02441616630426859
-0.954137443355442,0.49016517080977007,-0.4407620739735588,0.9047749005894319,-0.10280222051089562
-0.9604446212279486,0.4226540400652926,-0.4400131938183755,0.7535031329308738,-0.14682639341087667
-0.9665117167371166,0.34179705431130153,-0.364093763836451,0.6341249129160027,-0.1854322815982398
-0.9359540216008022,0.6047953417556818,-0.7191522694635525,0.6572169505710859,-0.18494203821530666
-0.9070452471185944,0.8546514706873873,-1.0565887311271818,0.7353032283724851,-0.11812094837023565
-0.8742576290035425,1.1279689936966275,-1.3803983919818077,0.9288484668085788,-0.06073014167775145
-1.0398778989624142,-0.33101453812613457,-0.1156931134716722,0.36647642696669736,-0.014562796158702464
