年,月,日,时,分,秒,近地面空气温度,冠层上方空气温度,近地面空气湿度,冠层上方空气湿度,近地面风速,冠层上方风速,风向,大气压,光合有效辐射,向下的短波辐射,向上的短波辐射,向下的长波辐射,向上的长波辐射,净辐射,一层土壤温度,二层土壤温度,一层土壤体积含水量,二层土壤体积含水量,三层土壤体积含水量,降水量
/,/,/,/,/,/,℃,℃,%,%, m s-1,m s-1,Deg,kpa,μmol m-2 s-1,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,℃,℃,m3 m-3,m3 m-3,m3 m-3,mm
2015,1,1,0,30,0,-20.3,-20.31,71.01,71.33,3.75,4.282,313.9,92.4,0,0,2.218,228,228,-2.19,-10.17882,-9.953647,0.089 ,0.106 ,0.066 ,0
2015,1,1,1,0,0,-20.42,-20.42,71.13,71.51,3.244,3.613,321.7,92.4,0,0,3.659,227.4,227.2,-3.475,-10.19139,-9.960954,0.089 ,0.106 ,0.066 ,0
2015,1,1,1,30,0,-20.8,-20.74,72.6,72.59,2.968,3.237,311.2,92.4,0,0,4.026,226.7,226.6,-3.984,-10.20788,-9.970738,0.089 ,0.106 ,0.066 ,0
2015,1,1,2,0,0,-21.47,-21.24,74.32,74.03,1.686,2.015,305.2,92.5,0,0,4.012,224.3,224.3,-3.984,-10.22119,-9.979634,0.089 ,0.106 ,0.066 ,0
2015,1,1,2,30,0,-21.99,-21.66,76,75.59,1.714,2.141,289.9,92.5,0,0,4.224,222.6,221.9,-3.49,-10.23459,-9.987348,0.089 ,0.106 ,0.066 ,0
2015,1,1,3,0,0,-22.29,-21.81,76.21,75.54,2.041,2.439,304.6,92.5,0,0,3.914,222.6,222,-3.306,-10.24893,-9.995828,0.089 ,0.106 ,0.066 ,0
2015,1,1,3,30,0,-22.38,-21.9,75.06,74.96,1.854,2.06,342.7,92.4,0,0,4.098,222.4,222.3,-3.999,-10.26805,-10.0082,0.089 ,0.106 ,0.066 ,0
2015,1,1,4,0,0,-24.05,-22.27,78.81,76.49,0.822,0.877,140.7,92.4,0,0,4.239,221,217.9,-1.201,-10.287,-10.02112,0.089 ,0.106 ,0.066 ,0
2015,1,1,4,30,0,-24.81,-22.44,79.4,76.58,0.905,1.179,290.7,92.4,0,0,4.239,219,216.3,-1.512,-10.30391,-10.03378,0.089 ,0.106 ,0.066 ,0
2015,1,1,5,0,0,-25.29,-22.54,78.51,75.56,1.807,2.557,268,92.4,0,0,4.24,219,218.4,-3.618,-10.32229,-10.04601,0.089 ,0.106 ,0.066 ,0
2015,1,1,5,30,0,-26.11,-24.29,80.2,78.82,1.147,1.324,203.2,92.4,0,0,4.24,214.2,214.2,-4.24,-10.3423,-10.06048,0.089 ,0.106 ,0.066 ,0
2015,1,1,6,0,0,-25.86,-24.62,78.26,79.28,0.636,0.842,242.1,92.4,0,0,4.24,210.8,210.7,-4.141,-10.36107,-10.07619,0.089 ,0.106 ,0.066 ,0
2015,1,1,6,30,0,-26.44,-25.36,77.75,80.3,0.669,0.87,193.7,92.4,0,0,4.24,207.7,207.1,-3.675,-10.37951,-10.08867,0.089 ,0.106 ,0.066 ,0
2015,1,1,7,0,0,-26.54,-25.45,77.74,80.4,0.464,0.56,289.3,92.4,0,0,4.24,208.3,206.1,-2.035,-10.39949,-10.10394,0.089 ,0.106 ,0.066 ,0
2015,1,1,7,30,0,-26.92,-25.9,77.44,80.1,0.629,0.941,213.3,92.4,0,0,4.17,207.1,204.1,-1.159,-10.4207,-10.12005,0.089 ,0.106 ,0.066 ,0
2015,1,1,8,0,0,-27.38,-26.51,77.25,80.3,0.631,1.093,199.3,92.4,0.004,0,4.156,204.7,204,-3.505,-10.44237,-10.13608,0.089 ,0.106 ,0.066 ,0
2015,1,1,8,30,0,-27.68,-27.34,77.59,80.2,0.875,1.467,190.3,92.4,2.24,0.283,4.24,203,202.5,-3.449,-10.46445,-10.15402,0.089 ,0.106 ,0.066 ,0
2015,1,1,9,0,0,-27.72,-27.71,77.16,78.91,0.657,0.873,204.1,92.4,20.15,35.66,4.241,213,201,43.39,-10.48683,-10.17029,0.089 ,0.106 ,0.066 ,0
2015,1,1,9,30,0,-27.11,-27.54,76,77.9,0.394,0.66,207,92.3,64.06,118.4,4.24,238.3,206.6,145.8,-10.51098,-10.19055,0.089 ,0.106 ,0.066 ,0
2015,1,1,10,0,0,-26.78,-27.09,75.79,77.86,0.477,0.756,255.6,92.3,107.3,174.4,4.254,252.1,212.5,209.8,-10.53592,-10.20498,0.089 ,0.106 ,0.066 ,0
2015,1,1,10,30,0,-25.98,-26.3,75.96,77.48,0.623,0.889,155,92.3,139,213.8,4.339,259.3,217.8,250.9,-10.55953,-10.22681,0.089 ,0.106 ,0.066 ,0
2015,1,1,11,0,0,-25.32,-25.56,75.78,78.05,1.086,1.706,172.2,92.3,163.9,252.5,4.24,263.5,218.6,293.2,-10.58389,-10.24824,0.089 ,0.106 ,0.066 ,0
2015,1,1,11,30,0,-24.06,-24.4,74.15,77.06,1.361,1.595,169.6,92.2,192.4,291.2,4.239,269.5,223,333.5,-10.60745,-10.26871,0.089 ,0.106 ,0.066 ,0
2015,1,1,12,0,0,-23.91,-24.1,73.86,76.92,1.663,1.715,173.4,92.2,181.6,260.4,4.239,257.2,222.3,291,-10.62586,-10.28585,0.089 ,0.106 ,0.066 ,0
2015,1,1,12,30,0,-22.77,-23.11,70.57,75.71,1.667,1.668,169.1,92.1,203.1,298.2,4.239,261.9,224.9,330.9,-10.64224,-10.30258,0.089 ,0.106 ,0.066 ,0
2015,1,1,13,0,0,-22.05,-22.4,68.03,73.07,1.668,1.751,170.3,92.1,176.7,257.5,4.238,257.6,227,283.8,-10.65622,-10.31993,0.089 ,0.106 ,0.066 ,0
2015,1,1,13,30,0,-21.77,-22.05,67.6,70.21,1.865,1.854,161.4,92.1,145.1,196,4.238,255.2,227,219.9,-10.66034,-10.3314,0.089 ,0.106 ,0.066 ,0
2015,1,1,14,0,0,-21.28,-21.27,66.88,68.71,1.813,1.969,185.4,92,132.4,166.7,4.238,253.4,228.3,187.4,-10.66258,-10.34014,0.089 ,0.106 ,0.066 ,0
2015,1,1,14,30,0,-21.05,-21.17,66.93,68.37,1.944,1.921,171.1,92,128.8,159.4,4.238,251.4,230,176.5,-10.66264,-10.35396,0.089 ,0.106 ,0.066 ,0
2015,1,1,15,0,0,-20.17,-20.5,64.07,66.37,1.023,1.029,150.6,92,118.1,139.3,4.238,253.1,231.9,156.3,-10.65356,-10.35383,0.089 ,0.106 ,0.066 ,0
2015,1,1,15,30,0,-20.08,-19.99,63.55,64.17,0.826,0.807,125.9,92,77.2,84.2,4.238,246.9,233.3,93.5,-10.64168,-10.35372,0.089 ,0.106 ,0.066 ,0
2015,1,1,16,0,0,-20.2,-19.67,64.13,62.37,1.22,1.309,341.1,92,33.48,31.39,4.238,236.3,231.3,32.15,-10.62786,-10.35679,0.089 ,0.106 ,0.066 ,0
2015,1,1,16,30,0,-19.74,-19.45,62.31,61.74,1.491,1.77,321.9,92,11.03,10.38,4.238,235.4,231.2,10.38,-10.6108,-10.35231,0.089 ,0.106 ,0.066 ,0
2015,1,1,17,0,0,-20.93,-19.83,67.64,63.8,0.9,0.637,319.9,92.1,1.176,0,4.238,232,227.8,0,-10.59491,-10.34921,0.089 ,0.106 ,0.066 ,0
2015,1,1,17,30,0,-22.15,-20.58,73.61,66.84,1.265,1.17,245.7,92.1,0,0,4.238,228,225.5,-1.822,-10.58436,-10.34376,0.089 ,0.106 ,0.066 ,0
2015,1,1,18,0,0,-22.64,-21.53,75.8,71.86,1.298,1.341,157.2,92.1,0,0,4.239,223.2,221.7,-2.685,-10.5728,-10.33635,0.089 ,0.106 ,0.066 ,0
2015,1,1,18,30,0,-22.68,-22.1,76.04,73.48,0.392,0.566,283.1,92.1,0,0,4.239,220.5,219,-2.713,-10.56194,-10.32839,0.089 ,0.106 ,0.066 ,0
2015,1,1,19,0,0,-23.38,-22.55,77.62,75.38,0.539,0.897,281.5,92.2,0,0,4.239,219.4,216,-0.862,-10.55957,-10.32668,0.089 ,0.106 ,0.066 ,0
2015,1,1,19,30,0,-24,-22.78,78.67,76.2,0.506,0.785,262.8,92.2,0,0,4.24,219.1,215.6,-0.692,-10.55568,-10.3239,0.089 ,0.106 ,0.066 ,0
2015,1,1,20,0,0,-24.71,-23.51,79.12,78.53,0.723,0.756,163,92.2,0,0,4.24,216.5,212.6,-0.283,-10.56043,-10.32403,0.089 ,0.106 ,0.066 ,0
2015,1,1,20,30,0,-24.94,-24.08,78.65,79.57,0.908,1.17,225.6,92.2,0,0,4.24,215.4,211.5,-0.297,-10.56322,-10.32309,0.089 ,0.106 ,0.066 ,0
2015,1,1,21,0,0,-25.62,-24.45,78.16,79.81,0.451,0.59,294.4,92.2,0,0,4.24,212.4,210.1,-1.865,-10.57244,-10.32615,0.089 ,0.106 ,0.066 ,0
2015,1,1,21,30,0,-25.65,-25.18,77.97,80.3,0.544,0.794,134.7,92.3,0,0,4.24,211.1,206.9,-0.057,-10.58418,-10.33022,0.089 ,0.106 ,0.066 ,0
2015,1,1,22,0,0,-25.93,-25.84,78.67,81,0.542,0.793,129.1,92.3,0,0,4.24,209.6,205.3,-0.028,-10.59759,-10.33687,0.089 ,0.106 ,0.066 ,0
2015,1,1,22,30,0,-26.41,-26.49,78.63,80.9,0.68,0.804,113.7,92.3,0,0,4.24,206.9,203.5,-0.792,-10.61369,-10.34442,0.089 ,0.106 ,0.066 ,0
2015,1,1,23,0,0,-27.05,-26.88,77.79,80.4,0.628,0.559,52.74,92.3,0,0,4.24,204.8,201.3,-0.721,-10.63372,-10.3554,0.089 ,0.106 ,0.066 ,0
2015,1,1,23,30,0,-27.73,-27.08,76.71,79.92,0.586,0.463,44.45,92.2,0,0,4.24,203.4,199.6,-0.424,-10.65418,-10.36658,0.089 ,0.106 ,0.066 ,0
2015,1,1,24,0,0,-27.99,-27.44,76.97,79.12,0.387,0.403,18.7,92.3,0,0,4.241,201.8,198.3,-0.749,-10.67658,-10.38072,0.089 ,0.106 ,0.066 ,0
2015,1,2,0,30,0,-29.22,-27.92,75.67,78.41,0.452,0.743,268.4,92.2,0,0,4.241,201.6,197.5,-0.141,-10.70045,-10.39478,0.089 ,0.106 ,0.066 ,0
2015,1,2,1,0,0,-29.35,-28.34,75.84,78.65,0.545,0.904,166,92.3,0,0,4.241,197.5,196.4,-3.068,-10.72416,-10.41189,0.089 ,0.106 ,0.066 ,0
2015,1,2,1,30,0,-29.37,-29,75.89,78.58,0.562,0.89,124.4,92.3,0,0,4.241,195.9,195.9,-4.241,-10.75165,-10.42934,0.089 ,0.106 ,0.066 ,0
2015,1,2,2,0,0,-29.19,-29.29,76.86,78.39,0.686,0.769,97,92.3,0,0,4.241,194.1,194.1,-4.241,-10.77836,-10.44681,0.089 ,0.106 ,0.066 ,0
2015,1,2,2,30,0,-29.87,-29.33,75.28,77.91,0.568,0.629,73.3,92.3,0,0,4.241,196.6,193.3,-0.905,-10.80448,-10.46679,0.089 ,0.106 ,0.066 ,0
2015,1,2,3,0,0,-30.55,-29.8,74.36,76.58,0.671,0.712,75.43,92.3,0,0,4.241,193.4,192,-2.842,-10.83444,-10.4876,0.089 ,0.106 ,0.066 ,0
2015,1,2,3,30,0,-30.57,-30.03,74.67,76.8,0.804,0.708,40.09,92.3,0,0,4.242,194,190.8,-1.06,-10.86236,-10.50829,0.089 ,0.106 ,0.066 ,0
2015,1,2,4,0,0,-30.49,-30.01,74.28,77.15,0.813,0.884,45.75,92.3,0,0,4.242,194.5,191.7,-1.442,-10.88925,-10.53021,0.089 ,0.106 ,0.066 ,0
2015,1,2,4,30,0,-31.27,-30.13,73.5,76.25,0.92,0.879,46.67,92.2,0,0,4.242,192.1,191.5,-3.62,-10.91863,-10.55061,0.089 ,0.106 ,0.066 ,0
2015,1,2,5,0,0,-31.72,-30.78,73.56,75.26,0.639,0.978,58.22,92.2,0,0,4.242,190.7,190.7,-4.242,-10.94672,-10.57321,0.089 ,0.106 ,0.066 ,0
2015,1,2,5,30,0,-31.81,-30.95,73.57,76.01,0.6,0.62,67.66,92.2,0,0,4.242,189,188.9,-4.072,-10.97523,-10.59596,0.089 ,0.106 ,0.066 ,0
2015,1,2,6,0,0,-31.64,-31.11,74.02,76.23,0.698,0.593,20.82,92.2,0,0,4.243,189.4,188,-2.899,-11.00635,-10.62032,0.089 ,0.106 ,0.066 ,0
2015,1,2,6,30,0,-32.02,-31.27,73.1,75.5,0.585,0.616,37.59,92.2,0,0,3.988,188.4,187.8,-3.366,-11.03154,-10.64476,0.089 ,0.106 ,0.066 ,0
2015,1,2,7,0,0,-32.32,-31.45,73.29,75.77,0.661,0.527,49.04,92.2,0,0,4.158,187.6,186,-2.56,-11.05956,-10.66754,0.089 ,0.106 ,0.066 ,0
2015,1,2,7,30,0,-32.19,-31.21,73.39,76.19,0.873,0.765,22.99,92.1,0,0,3.408,189.8,187.1,-0.679,-11.08582,-10.6921,0.089 ,0.106 ,0.066 ,0
2015,1,2,8,0,0,-32.6,-30.98,72.8,76.03,0.724,0.549,22.03,92.2,0,0,3.762,188.9,188,-2.885,-11.11083,-10.71079,0.089 ,0.106 ,0.066 ,0
2015,1,2,8,30,0,-32.65,-31.38,72.72,75.55,0.797,0.528,56.82,92.2,2.315,0.792,4.186,189.4,187.8,-1.782,-11.13897,-10.7364,0.089 ,0.106 ,0.066 ,0
