年,月,日,时,分,秒,近地面空气温度,冠层上方空气温度,近地面空气湿度,冠层上方空气湿度,近地面风速,冠层上方风速,风向,大气压,光合有效辐射,向下的短波辐射,向上的短波辐射,向下的长波辐射,向上的长波辐射,净辐射,一层土壤温度,二层土壤温度,一层土壤体积含水量,二层土壤体积含水量,三层土壤体积含水量,降水量
/,/,/,/,/,/,℃,℃,%,%, m s-1,m s-1,Deg,kpa,μmol m-2 s-1,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,℃,℃,m3 m-3,m3 m-3,m3 m-3,mm
2016,1,1,0,30,0,-18.62,-17.14,80.6,84.2,0.682,0.621,297.2,92,0,0,4.237,243.7,239.4,0,-10.02175,-10.00934,0.068 ,0.085 ,0.050 ,0
2016,1,1,1,0,0,-20.23,-17.6,78.95,83.6,0.271,0.379,340.2,92,0,0,4.237,240.9,236.6,0,-10.001,-9.987138,0.068 ,0.085 ,0.050 ,0
2016,1,1,1,30,0,-21.76,-18.26,77.85,82.9,0.259,0.251,7.907,91.9,0,0,4.026,237.3,233.1,0.127,-9.977408,-9.965828,0.068 ,0.085 ,0.050 ,0
2016,1,1,2,0,0,-22.83,-18.61,77.29,82.6,0.682,0.444,50.62,91.9,0,0,4.167,235.9,231.6,0.071,-9.956224,-9.94301,0.068 ,0.085 ,0.050 ,0
2016,1,1,2,30,0,-22.77,-18.62,77.77,82.7,0.757,0.823,52.32,92,0.003,0,0.452,237.8,234,3.32,-9.937949,-9.926321,0.068 ,0.085 ,0.050 ,0
2016,1,1,3,0,0,-22.02,-18.26,78.14,83,0.655,0.749,161.6,92,0.007,0,0,236.9,236.1,0.833,-9.93078,-9.907475,0.068 ,0.085 ,0.050 ,0
2016,1,1,3,30,0,-21.43,-18.11,78.22,83.1,0.35,0.381,242.9,92,0.01,0,0,237.5,237.3,0.212,-9.925019,-9.893266,0.068 ,0.085 ,0.050 ,0
2016,1,1,4,0,0,-20.78,-17.83,78.48,83.5,0.627,0.765,240.5,91.9,0.006,0,0,238.6,238,0.622,-9.918526,-9.878793,0.068 ,0.085 ,0.050 ,0
2016,1,1,4,30,0,-20.35,-17.22,78.46,84.2,1.05,1.191,287.7,92,0.004,0,0,241.6,240.7,0.89,-9.912901,-9.86813,0.068 ,0.085 ,0.050 ,0
2016,1,1,5,0,0,-20.28,-17.52,78.52,83.8,1.123,1.143,266.4,91.9,0.001,0,0,240.9,240.9,0,-9.90219,-9.858869,0.068 ,0.085 ,0.050 ,0
2016,1,1,5,30,0,-19.94,-17.31,79.05,84.1,0.807,0.902,281.5,91.9,0,0,0,240.8,240.8,0,-9.894222,-9.842821,0.068 ,0.085 ,0.050 ,0
2016,1,1,6,0,0,-19.77,-17.3,79.12,84,0.873,0.935,268.6,91.9,0,0,0,240.8,240.8,0,-9.881089,-9.828572,0.068 ,0.085 ,0.050 ,0
2016,1,1,6,30,0,-19.91,-17.47,78.84,83.8,1.472,1.421,257.8,91.9,0.001,0,2.754,240.8,239.5,-1.526,-9.866805,-9.824747,0.068 ,0.085 ,0.050 ,0
2016,1,1,7,0,0,-21.54,-17.97,77.44,83.1,0.882,0.947,299.3,92,0,0,3.743,238.7,237.3,-2.317,-9.851147,-9.805441,0.068 ,0.085 ,0.050 ,0
2016,1,1,7,30,0,-23.34,-18.16,77.16,82.9,0.914,1.05,312.8,92,0,0,4.238,237.6,234.8,-1.441,-9.834246,-9.790492,0.068 ,0.085 ,0.050 ,0
2016,1,1,8,0,0,-24.79,-18.13,76.23,82.7,1.639,1.613,297.3,92,0.002,0,4.026,238.7,236.3,-1.639,-9.820635,-9.774765,0.068 ,0.085 ,0.050 ,0
2016,1,1,8,30,0,-25.38,-18.35,76.15,82.5,1.209,1.269,298.1,92,0.5,1.088,0.805,238.4,236.2,2.458,-9.810118,-9.762373,0.068 ,0.085 ,0.050 ,0
2016,1,1,9,0,0,-24.29,-18.39,77.38,82.3,1.596,1.614,299.2,92,4.462,7.713,0,241.6,237.4,11.95,-9.807526,-9.747678,0.068 ,0.085 ,0.050 ,0
2016,1,1,9,30,0,-23.28,-18.35,77.08,82.6,0.882,0.969,315,92,14.54,26.23,2.401,249.1,237.7,35.23,-9.80694,-9.743959,0.068 ,0.085 ,0.050 ,0
2016,1,1,10,0,0,-23.02,-17.61,76.62,83.8,0.836,0.759,219.7,92,27.18,142.7,4.209,309.6,243.1,205.1,-9.812036,-9.734582,0.068 ,0.085 ,0.050 ,0
2016,1,1,10,30,0,-21.88,-17.85,77.08,83,1.177,1.158,310.8,92.1,41.65,171.1,3.545,322.1,248.8,240.9,-9.80894,-9.729248,0.068 ,0.085 ,0.050 ,0
2016,1,1,11,0,0,-18.66,-17.64,73.54,82.9,1.642,1.621,302.5,92.1,97.2,115.9,0.395,289.3,246.7,158.1,-9.813502,-9.726111,0.068 ,0.085 ,0.050 ,0
2016,1,1,11,30,0,-17.06,-17.25,71.47,83,1.882,1.888,305.1,92,77.74,197.4,1.384,323.2,247.2,272,-9.817064,-9.723348,0.068 ,0.085 ,0.050 ,0
2016,1,1,12,0,0,-16.17,-16.82,69.02,82.5,2.455,2.402,314.6,92,77.04,234.9,0.339,334.8,249.6,319.7,-9.81346,-9.717907,0.068 ,0.085 ,0.050 ,0
2016,1,1,12,30,0,-15.53,-16.39,67,81.8,2.314,2.327,323.8,92,78.36,229.7,0.452,333.3,251.1,311.4,-9.808646,-9.713177,0.068 ,0.085 ,0.050 ,0
2016,1,1,13,0,0,-14.95,-16.04,65.17,81.2,2.419,2.543,319.4,92,73.46,210.7,0.353,326.3,251.7,284.9,-9.799764,-9.707479,0.068 ,0.085 ,0.050 ,0
2016,1,1,13,30,0,-14.66,-15.33,64.79,81.4,1.878,2.051,312.4,92,75.1,224.9,2.528,331,254.2,299.2,-9.788082,-9.699296,0.068 ,0.085 ,0.050 ,0
2016,1,1,14,0,0,-14.61,-15.01,65.36,79.43,2.274,2.384,324.3,92,60.86,193.1,3.304,318.4,257.1,251.1,-9.774039,-9.689645,0.068 ,0.085 ,0.050 ,0
2016,1,1,14,30,0,-14.51,-15.02,65.15,77.76,2.612,2.666,323,92,73.04,178.2,4.051,308.7,257.2,225.6,-9.762483,-9.679956,0.068 ,0.085 ,0.050 ,0
2016,1,1,15,0,0,-14.75,-14.75,66.34,75.83,2.372,2.544,324.3,92,35.12,152.7,4.235,297.7,259.4,186.8,-9.748121,-9.673063,0.068 ,0.085 ,0.050 ,0
2016,1,1,15,30,0,-15.17,-14.67,68.31,73.76,3.207,3.289,319.9,92,17.48,115.9,4.235,287.7,257.3,142,-9.732314,-9.660749,0.068 ,0.085 ,0.050 ,0
2016,1,1,16,0,0,-15.84,-15.06,70.35,73.12,3.591,3.814,310.6,92,11.64,62.4,3.261,270.6,254.3,75.43,-9.715517,-9.647024,0.068 ,0.085 ,0.050 ,0
2016,1,1,16,30,0,-17.48,-15.58,75.35,74.43,3.374,3.713,318.3,92.1,5.587,7.596,0.071,252.4,248.2,11.72,-9.6991,-9.632692,0.068 ,0.085 ,0.050 ,0
2016,1,1,17,0,0,-19.42,-15.99,78.94,75.29,2.753,3.085,318.6,92.1,0.908,0.65,0.24,246.3,245.3,1.384,-9.685726,-9.620564,0.068 ,0.085 ,0.050 ,0
2016,1,1,17,30,0,-21.3,-16.33,78.19,75.93,1.99,2.352,313.9,92.1,0.004,0,2.302,245.8,243.3,0.169,-9.672569,-9.60795,0.068 ,0.085 ,0.050 ,0
2016,1,1,18,0,0,-22.97,-16.61,77.92,76.53,1.995,2.204,314,92.2,0,0,2.952,245.3,241.3,1.031,-9.666011,-9.59713,0.068 ,0.085 ,0.050 ,0
2016,1,1,18,30,0,-23.73,-16.95,77.51,77,2.759,3.137,310.3,92.2,0,0,0.198,241.9,241.5,0.141,-9.660899,-9.588592,0.068 ,0.085 ,0.050 ,0
2016,1,1,19,0,0,-24.39,-17.08,76.98,77.8,2.312,2.74,326.6,92.2,0,0,1.455,242.8,239.9,1.469,-9.662073,-9.581671,0.068 ,0.085 ,0.050 ,0
2016,1,1,19,30,0,-25.3,-17.31,76.25,78.74,2.897,3.311,315.3,92.2,0,0,0.537,241.5,239.2,1.723,-9.666988,-9.5755,0.068 ,0.085 ,0.050 ,0
2016,1,1,20,0,0,-25.79,-17.8,76.18,79.59,2.44,2.717,300.4,92.2,0,0,1.328,238.7,238.3,-0.89,-9.67516,-9.574032,0.068 ,0.085 ,0.050 ,0
2016,1,1,20,30,0,-26.4,-18.28,75.54,80.9,1.341,1.601,309.3,92.2,0,0,3.828,237.1,235.5,-2.218,-9.686534,-9.57296,0.068 ,0.085 ,0.050 ,0
2016,1,1,21,0,0,-27.1,-18.97,75.05,81.1,0.786,0.877,344.8,92.3,0,0,4.238,233.6,231.7,-2.359,-9.70255,-9.576955,0.068 ,0.085 ,0.050 ,0
2016,1,1,21,30,0,-27.92,-19.38,74.49,82.2,0.863,0.677,76.7,92.3,0,0,4.238,232.7,228.4,0,-9.724935,-9.585352,0.068 ,0.085 ,0.050 ,0
2016,1,1,22,0,0,-28.6,-19.98,74.25,81.5,0.936,0.765,35.25,92.3,0,0,4.238,230.8,226.5,0,-9.744786,-9.593546,0.068 ,0.085 ,0.050 ,0
2016,1,1,22,30,0,-29.18,-20.26,73.99,81.3,0.622,0.657,34.58,92.3,0,0,4.238,228.9,225.4,-0.692,-9.768516,-9.602996,0.068 ,0.085 ,0.050 ,0
